termin	predlog	padezh	chastota	logDice
объединение	в	Acc	75	6.63
элемент	по	Dat	74	6.04
значение	в	Loc	74	4.34
таблица	в	Gen	74	7.71
многочлен	из	Gen	74	6.18
произведение	для	Gen	74	6.16
возможность	по	Dat	74	6.62
преобразование	для	Gen	74	6.27
пространство	между	Ins	74	7.15
область	на	Loc	74	6.32
геометрия	в	Acc	74	6.42
треугольник	без	Gen	74	8.16
ящик	в	Acc	74	6.67
время	со	Gen	73	7.32
начало	из	Gen	73	6.18
порядок	до	Gen	73	7.63
система	от	Gen	73	6.71
изменение	с	Ins	73	6.49
предмет	по	Dat	73	6.66
предмет	из	Gen	73	6.3
произведение	на	Acc	73	6.63
пара	по	Dat	73	6.35
жизнь	из	Gen	73	6.25
позиция	на	Acc	73	6.95
модель	с	Ins	73	6.24
треугольник	внутри	Gen	73	8.44
подмножество	на	Gen	72	8.29
гипотеза	из	Gen	72	6.17
текст	с	Ins	72	6.36
направление	с	Ins	72	6.4
строка	для	Gen	72	6.18
слово	со	Ins	72	7.2
символ	с	Ins	72	6.39
цикл	без	Gen	72	8.33
жизнь	при	Loc	72	7.94
данных	из	Gen	72	6.21
доска	для	Gen	72	6.34
утверждение	с	Ins	71	6.14
слово	на	Acc	71	6.25
единица	от	Gen	71	7.3
операция	в	Loc	71	4.39
произведение	из	Gen	71	6.04
разбиение	для	Gen	71	6.29
равенство	о	Loc	71	7.6
график	к	Dat	71	7.22
изучение	в	Loc	71	4.44
век	в	Acc	70	6.44
ученик	из	Gen	70	6.24
граф	в	Acc	70	5.63
число	в	Gen	69	4.97
задача	от	Gen	69	5.94
параметр	по	Dat	69	6.48
форма	по	Dat	69	6.31
форма	в	Acc	69	6.25
направление	из	Gen	69	6.17
цикл	на	Acc	69	6.65
вычисление	к	Dat	69	6.91
наука	к	Dat	69	6.6
площадь	с	Ins	69	6.35
ожидание	с	Ins	69	6.39
смысл	по	Dat	68	6.46
шаг	за	Acc	68	7.95
порядок	на	Acc	68	6.47
школа	из	Gen	68	6.07
анализ	к	Dat	68	6.83
таблица	по	Dat	68	6.43
лемма	в	Loc	68	4.37
набор	по	Dat	68	6.38
цикл	с	Ins	68	6.21
цифра	для	Gen	68	6.1
количество	из	Gen	68	5.92
человек	с	Ins	68	6.19
состояние	для	Gen	68	6.16
ось	на	Acc	68	6.8
имя	от	Gen	68	7.5
кубик	на	Loc	68	6.56
вопрос	с	Ins	67	6.08
г.	по	Dat	67	6.33
идея	на	Loc	67	6.42
точка	у	Gen	67	6.32
место	в	Acc	67	6.21
знак	под	Ins	67	8.74
тип	для	Gen	67	6.09
размер	с	Ins	67	6.23
цикл	за	Acc	67	7.94
множитель	до	Gen	67	8.47
сложность	со	Ins	67	8.34
площадь	по	Dat	67	6.47
диаграмма	в	Loc	67	4.35
перестановка	из	Gen	67	6.11
ответ	в	Loc	66	4.28
результат	на	Acc	66	6.34
основание	в	Loc	66	4.33
математика	о	Loc	66	6.87
связь	с	Ins	66	6.24
единица	в	Acc	66	6.19
отображение	с	Ins	66	6.07
лемма	согласно	Dat	66	9.23
шар	из	Gen	66	6.13
клетка	на	Loc	66	6.4
доля	на	Acc	66	6.83
положение	от	Gen	66	7.74
сумма	к	Dat	65	6.37
определение	в	Acc	65	5.95
итог	по	Dat	65	6.53
тип	по	Dat	65	6.31
неравенство	по	Dat	65	6.3
возможность	с	Ins	65	6.26
дерево	по	Dat	65	6.3
ход	за	Gen	65	8.98
край	по	Dat	65	6.54
жизнь	на	Acc	65	6.71
окружность	из	Gen	65	6.03
применение	при	Loc	65	7.75
читатель	для	Gen	65	6.23
время	в	Gen	64	6.59
метод	на	Loc	64	5.99
функция	между	Ins	64	6.07
закон	с	Ins	64	6.18
схема	для	Gen	64	6.1
существование	для	Gen	64	6.16
неравенство	в	Loc	64	4.25
бит	из	Gen	64	6.11
вершина	п	Loc	64	7.01
движение	с	Ins	64	6.17
пересечение	в	Loc	64	4.28
пара	на	Loc	64	6.13
структура	о	Loc	64	7.8
мир	из	Gen	64	6.02
окружность	на	Acc	64	6.61
код	в	Acc	64	6.33
описание	при	Loc	64	7.78
комбинация	из	Gen	64	6.13
кубик	из	Gen	64	6.15
последовательность	к	Dat	63	6.46
половина	с	Ins	63	6.25
вывод	в	Loc	63	4.26
часть	для	Gen	63	5.76
точка	вокруг	Gen	63	6.34
сложность	с	Ins	63	6.16
количество	при	Loc	63	7.11
область	для	Gen	63	5.88
счёт	в	Loc	63	4.27
упражнение	из	Gen	63	6.06
поверхность	на	Acc	63	6.65
день	через	Gen	63	8.95
распределение	к	Dat	63	6.65
лекция	на	Acc	62	6.54
век	с	Gen	62	7.25
книга	в	Acc	62	6.09
метод	с	Ins	62	5.84
множество	между	Ins	62	5.96
программа	в	Acc	62	6.26
определение	с	Gen	62	6.57
утверждение	к	Dat	62	6.52
рассуждение	из	Gen	62	6.05
связь	о	Loc	62	7.71
предположение	при	Loc	62	7.9
расстояние	с	Ins	62	6.15
пара	к	Dat	62	6.57
модель	из	Gen	62	5.85
окружность	для	Gen	62	6.02
ребро	на	Acc	62	6.32
время	для	Gen	61	5.6
шаг	в	Gen	61	7.28
работа	в	Acc	61	5.83
степень	от	Gen	61	6.79
курс	в	Acc	61	6.19
текст	из	Gen	61	5.96
длина	на	Acc	61	6.25
выражение	для	Gen	61	6.05
способ	при	Loc	61	6.97
ряд	на	Acc	61	6.37
ряд	из	Gen	61	5.83
отрезок	по	Dat	61	6.26
граница	на	Acc	61	6.62
деление	с	Ins	61	6.18
модель	к	Dat	61	6.59
окружность	с	Ins	61	6.1
вектор	к	Dat	61	6.58
координата	от	Gen	61	7.47
треугольник	на	Gen	61	7.82
случай	в	Gen	60	6.26
шаг	по	Dat	60	6.18
условие	от	Gen	60	6.86
свойство	о	Loc	60	7.01
анализ	из	Gen	60	5.85
буква	по	Dat	60	6.21
слово	к	Dat	60	6.17
класс	на	Loc	60	5.99
константа	до	Gen	60	8.39
способ	от	Gen	60	6.82
оценка	при	Loc	60	7.43
путь	вдоль	Gen	60	7.89
корень	к	Dat	60	6.74
ограничение	при	Loc	60	7.84
количество	о	Loc	60	7.09
данных	в	Loc	60	4.18
столбец	из	Gen	60	6.03
вид	для	Gen	59	5.56
задача	по	Dat	59	5.25
задача	на	Loc	59	5.24
алгоритм	с	Ins	59	5.71
правило	с	Ins	59	6.0
материал	из	Gen	59	5.99
функция	у	Gen	59	5.99
вариант	для	Gen	59	5.96
строка	в	Gen	59	7.22
построение	на	Acc	59	6.54
набор	в	Acc	59	6.12
команда	в	Loc	59	4.18
вероятность	на	Acc	59	5.97
пересечение	без	Gen	59	8.55
дробь	с	Ins	59	6.17
стрелка	со	Ins	59	8.66
ответ	для	Gen	58	5.84
теорема	на	Acc	58	5.97
параметр	для	Gen	58	5.96
материал	в	Loc	58	4.15
курс	для	Gen	58	5.91
длина	для	Gen	58	5.72
предположение	из	Gen	58	5.97
дерево	в	Acc	58	6.09
вершина	в	Gen	58	6.31
цифра	на	Acc	58	6.4
граница	за	Ins	58	8.99
цепь	для	Gen	58	6.06
область	по	Dat	58	6.0
величина	к	Dat	58	6.33
перестановка	для	Gen	58	5.96
день	по	Acc	58	8.48
матрица	к	Dat	58	6.51
задача	с	Gen	57	5.59
тройка	для	Gen	57	6.03
ответ	к	Dat	57	6.54
множество	от	Gen	57	5.64
сложение	по	Dat	57	6.3
степень	до	Gen	57	7.04
язык	к	Dat	57	6.41
строка	к	Dat	57	6.6
единица	с	Gen	57	6.82
место	по	Dat	57	6.03
символ	для	Gen	57	5.94
схема	на	Loc	57	6.18
оценка	к	Dat	57	6.63
пара	с	Ins	57	5.85
глава	к	Dat	57	6.65
пространство	к	Dat	57	6.07
область	к	Dat	57	6.41
соотношение	к	Dat	57	6.69
соотношение	для	Gen	57	5.9
диаграмма	с	Ins	57	6.08
номер	по	Dat	57	6.23
треугольник	на	Acc	57	6.31
фигура	из	Gen	57	5.94
разложение	о	Loc	57	7.72
задача	в	Gen	56	5.65
книга	на	Acc	56	6.24
элемент	в	Gen	56	6.34
список	по	Dat	56	6.19
умножение	относительно	Gen	56	8.52
класс	по	Dat	56	5.91
оценка	из	Gen	56	5.78
конец	от	Gen	56	7.12
речь	в	Loc	56	4.11
разбиение	в	Loc	56	4.09
описание	к	Dat	56	6.76
карта	по	Dat	56	6.22
год	c	Gen	55	5.05
год	на	Loc	55	4.55
задача	в	Acc	55	5.12
множество	у	Gen	55	5.83
понятие	из	Gen	55	5.77
сложение	при	Loc	55	7.74
теория	на	Loc	55	5.55
последовательность	на	Loc	55	5.82
компьютер	в	Loc	55	4.08
изменение	к	Dat	55	6.84
роль	на	Acc	55	6.53
конструкция	в	Loc	55	4.07
тип	к	Dat	55	6.57
вершина	при	Loc	55	6.3
доска	у	Gen	55	8.71
поверхность	к	Dat	55	6.7
монета	из	Gen	55	5.88
сфера	в	Acc	55	6.18
решение	в	Acc	54	5.52
квадрат	от	Gen	54	7.02
сложение	со	Ins	54	8.58
г.	до	Gen	54	7.53
система	на	Loc	54	5.57
функция	в	Acc	54	5.12
последовательность	относительно	Gen	54	7.34
математика	для	Gen	54	5.48
умножение	по	Dat	54	6.12
многочлен	у	Gen	54	7.91
тип	с	Ins	54	5.88
круг	на	Loc	54	6.14
ход	на	Loc	54	6.11
структура	со	Ins	54	8.17
граф	о	Loc	54	5.91
представление	с	Ins	53	5.92
элемент	от	Gen	53	6.23
нуль	на	Acc	53	6.24
запись	при	Loc	53	7.5
операция	из	Gen	53	5.69
построение	о	Loc	53	7.52
алгебра	с	Ins	53	5.88
многочлен	в	Loc	53	3.98
дерево	с	Ins	53	5.85
действие	при	Loc	53	7.5
край	с	Gen	53	7.34
позиция	для	Gen	53	5.89
соответствие	в	Loc	53	4.01
описание	с	Ins	53	5.96
величина	между	Ins	53	7.07
номер	из	Gen	53	5.79
изучение	с	Ins	53	6.01
уравнение	у	Gen	52	6.78
работа	с	Gen	52	6.27
гипотеза	к	Dat	52	6.54
доказательство	на	Acc	52	5.89
название	с	Ins	52	5.94
отображение	к	Dat	52	6.33
символ	на	Acc	52	6.38
преобразование	из	Gen	52	5.7
край	от	Gen	52	7.57
геометрия	из	Gen	52	5.66
номер	под	Ins	52	8.56
раскраска	при	Loc	52	7.73
начало	через	Acc	51	7.93
представление	из	Gen	51	5.7
форма	о	Loc	51	7.04
образ	в	Loc	51	3.83
скобка	из	Gen	51	5.81
тип	на	Gen	51	7.79
игра	из	Gen	51	5.67
путь	на	Acc	51	6.05
движение	к	Dat	51	6.52
отрезок	для	Gen	51	5.74
деление	на	Loc	51	6.06
исход	из	Gen	51	5.79
коэффициент	из	Gen	50	5.59
метод	к	Dat	50	6.06
множество	над	Ins	50	5.69
подмножество	в	Acc	50	5.88
отношение	для	Gen	50	5.68
образ	с	Ins	50	5.47
композиция	в	Acc	50	6.06
предел	о	Loc	50	7.51
вершина	без	Gen	50	6.47
край	с	Ins	50	5.98
объект	к	Dat	50	6.35
соотношение	в	Loc	50	3.9
номер	в	Loc	50	3.92
граф	с	Gen	50	5.62
перестановка	до	Gen	50	7.75
лекция	с	Ins	49	5.77
решение	от	Gen	49	6.08
представление	к	Dat	49	6.5
система	в	Gen	49	6.16
формула	на	Acc	49	5.78
функция	в	Gen	49	5.49
многочлен	в	Gen	49	6.99
цикл	для	Gen	49	5.63
множитель	из	Gen	49	5.72
раз	по	Gen	49	7.6
состояние	от	Gen	49	7.07
граф	на	Acc	49	5.3
занятие	для	Gen	49	5.81
доля	с	Ins	49	5.91
вид	на	Acc	48	5.67
вид	с	Ins	48	5.35
множество	до	Gen	48	5.55
группа	между	Ins	48	6.35
сложение	относительно	Gen	48	8.9
формулировка	из	Gen	48	5.7
язык	по	Dat	48	5.72
результат	от	Gen	48	6.49
поле	в	Acc	48	5.58
часть	между	Ins	48	6.79
произведение	со	Ins	48	7.36
возможность	из	Gen	48	5.65
преобразование	после	Gen	48	8.11
прогрессия	в	Loc	48	3.89
ряд	к	Dat	48	6.24
пара	через	Acc	48	7.33
модель	на	Acc	48	6.03
плоскость	с	Ins	48	5.71
код	для	Gen	48	5.7
матрица	в	Acc	48	5.72
кость	в	Loc	48	3.88
год	спустя	Acc	47	4.82
решение	за	Acc	47	6.3
число	про	Acc	47	4.57
пример	с	Gen	47	6.31
квадрат	на	Gen	47	7.56
квадрат	для	Gen	47	5.55
сумма	от	Gen	47	6.28
представление	о	Loc	47	7.3
программа	из	Gen	47	5.59
работа	от	Gen	47	6.25
место	к	Dat	47	6.21
набор	от	Gen	47	6.89
алгебра	к	Dat	47	6.38
неравенство	к	Dat	47	6.33
вершина	п	Gen	47	6.53
путь	для	Gen	47	5.46
переход	для	Gen	47	5.71
область	на	Acc	47	5.93
цель	к	Dat	47	6.58
соотношение	с	Ins	47	5.73
ребро	через	Acc	47	7.19
т	к	?	47	7.9
исход	с	Ins	47	5.85
ящик	из	Gen	47	5.71
проблема	над	Ins	46	7.74
свойство	на	Acc	46	5.83
материал	по	Dat	46	5.98
ученик	среди	Gen	46	8.98
ученик	с	Ins	46	5.81
язык	в	Acc	46	5.61
закон	в	Loc	46	3.79
буква	на	Acc	46	6.1
строка	с	Ins	46	5.64
умножение	до	Gen	46	7.59
раз	за	Acc	46	7.05
вероятность	к	Dat	46	5.77
пересечение	с	Ins	46	5.76
состояние	к	Dat	46	6.4
плоскость	по	Dat	46	5.81
координата	с	Ins	46	5.74
счёт	на	Acc	46	6.33
отражение	при	Loc	46	7.57
число	после	Gen	45	4.49
случай	по	Dat	45	5.21
шаг	к	Dat	45	6.26
алгоритм	к	Dat	45	5.83
язык	с	Ins	45	5.48
теория	о	Loc	45	6.05
компьютер	с	Gen	45	7.04
дело	к	Dat	45	6.27
часть	от	Gen	45	6.28
знак	из	Gen	45	5.53
схема	в	Acc	45	5.81
модуль	для	Gen	45	5.59
набор	к	Dat	45	6.29
базис	от	Gen	45	7.05
прямоугольник	для	Gen	45	5.68
цикл	о	Loc	45	7.04
игра	к	Dat	45	6.32
процесс	к	Dat	45	6.29
модель	в	Acc	45	5.64
график	в	Loc	45	3.79
цвет	с	Ins	45	5.66
треугольник	на	Nom	45	7.83
доска	из	Gen	45	5.6
кусок	на	Acc	45	6.34
год	между	Ins	44	4.65
год	от	Gen	44	4.53
век	до	Gen	44	7.54
группа	у	Gen	44	6.29
последовательность	с	Ins	44	5.39
точка	вблизи	Gen	44	5.84
схема	из	Gen	44	5.5
цепочка	по	Dat	44	5.96
модель	в	Gen	44	6.65
пункт	в	Acc	44	5.88
остаток	на	Acc	44	6.18
линия	из	Gen	44	5.52
граф	от	Gen	44	5.52
распределение	от	Gen	44	6.63
распределение	в	Loc	44	3.69
ожидание	для	Gen	44	5.63
век	к	Dat	43	6.33
тройка	в	Loc	43	3.72
шаг	за	Ins	43	7.9
алгоритм	в	Acc	43	5.34
формулировка	с	Ins	43	5.72
формула	в	Gen	43	6.17
форма	от	Gen	43	6.58
функция	на	Loc	43	4.8
идея	к	Dat	43	6.36
последовательность	в	Gen	43	6.36
результат	о	Loc	43	6.51
направление	от	Gen	43	6.99
ошибка	к	Dat	43	6.41
таблица	с	Gen	43	6.68
часть	в	Gen	43	6.24
знак	в	Acc	43	5.73
модуль	с	Ins	43	5.64
константа	с	Ins	43	5.73
выбор	о	Loc	43	7.16
игра	в	Gen	43	6.87
цифра	с	Gen	43	6.55
отрезок	в	Acc	43	5.7
край	к	Dat	43	6.56
цель	в	Acc	43	5.81
разность	с	Ins	43	5.72
треугольник	с	Ins	43	5.5
клетка	по	Dat	43	5.82
эксперимент	для	Gen	43	5.61
предложение	в	Loc	43	3.72
лекция	из	Gen	42	5.39
число	вместо	Gen	42	4.41
метод	для	Gen	42	5.19
факт	по	Dat	42	5.83
теория	на	Acc	42	5.36
последовательность	по	Dat	42	5.46
компьютер	для	Gen	42	5.59
точка	в	Gen	42	5.39
знак	от	Gen	42	6.89
прямоугольник	в	Acc	42	5.81
оценка	на	Loc	42	5.66
бит	в	Loc	42	3.68
преобразование	относительно	Gen	42	7.92
событие	с	Ins	42	5.52
